URL,Creator,Type,Description,Title
https://itunes.apple.com/us/book/tom-clancy-point-of-contact/id1220186082?mt=11&app=itunes,Mike Maden,epubBook,Tom Clancy Point of Contact - Mike Maden,Tom Clancy Point of Contact
https://itunes.apple.com/us/book/firefly/id1203969213?mt=11&app=itunes,Molly McAdams,epubBook,Firefly - Molly McAdams,Firefly
https://itunes.apple.com/us/book/the-force/id1156080905?mt=11&app=itunes,Don Winslow,epubBook,The Force - Don Winslow,The Force
https://itunes.apple.com/us/book/the-chosen/id1080409463?mt=11&app=itunes,Chaim Potok,epubBook,The Chosen - Chaim Potok,The Chosen
https://itunes.apple.com/us/book/a-gentleman-in-moscow/id1091133010?mt=11&app=itunes,Amor Towles,epubBook,A Gentleman in Moscow - Amor Towles,A Gentleman in Moscow
https://itunes.apple.com/us/book/hillbilly-elegy/id1046918625?mt=11&app=itunes,J. D. Vance,epubBook,Hillbilly Elegy - J. D. Vance,Hillbilly Elegy
https://itunes.apple.com/us/book/come-sundown/id1163777750?mt=11&app=itunes,Nora Roberts,epubBook,Come Sundown - Nora Roberts,Come Sundown
https://itunes.apple.com/us/book/devils-bargain/id1241763226?mt=11&app=itunes,Joshua Green,epubBook,Devil's Bargain - Joshua Green,Devil's Bargain
https://itunes.apple.com/us/book/the-subtle-art-of-not-giving-a-f-ck/id1071409887?mt=11&app=itunes,Mark Manson,epubBook,The Subtle Art of Not Giving a F*ck - Mark Manson,The Subtle Art of Not Giving a F*ck
https://itunes.apple.com/us/book/the-dark-tower-i/id1061697626?mt=11&app=itunes,Stephen King,epubBook,The Dark Tower I - Stephen King,The Dark Tower I
https://itunes.apple.com/us/audiobook/suicide-run-three-harry-bosch-stories-unabridged/id470434234?app=itunes,Michael Connelly,book,Suicide Run: Three Harry Bosch Stories (Unabridged) - Michael Connelly,Suicide Run: Three Harry Bosch Stories (Unabridged)
https://itunes.apple.com/us/audiobook/mans-search-for-meaning-unabridged/id27059420?app=itunes,Viktor E. Frankl,book,Man's Search for Meaning (Unabridged) - Viktor E. Frankl,Man's Search for Meaning (Unabridged)
https://itunes.apple.com/us/audiobook/the-art-of-war-original-classic-edition-unabridged/id522256036?app=itunes,Sun Tsu,book,The Art of War: Original Classic Edition (Unabridged) - Sun Tsu,The Art of War: Original Classic Edition (Unabridged)
https://itunes.apple.com/us/audiobook/harry-potter-and-the-half-blood-prince-book-6-unabridged/id1059081590?app=itunes,J.K. Rowling,book,"Harry Potter and the Half-Blood Prince, Book 6 (Unabridged) - J.K. Rowling","Harry Potter and the Half-Blood Prince, Book 6 (Unabridged)"
https://itunes.apple.com/us/audiobook/a-man-called-ove-unabridged/id906531609?app=itunes,Fredrik Backman,book,A Man Called Ove (Unabridged) - Fredrik Backman,A Man Called Ove (Unabridged)
https://itunes.apple.com/us/audiobook/the-fix-unabridged/id1211107889?app=itunes,David Baldacci,book,The Fix (Unabridged) - David Baldacci,The Fix (Unabridged)
